year,bedrooms,property_type,location,avg_rent
2008,One bed,Detached house,"Leopardstown, Dublin 18",
2008,One bed,Detached house,"Sandyford, Dublin 18",
2008,One bed,Semi detached house,Dublin,855.05
2008,One bed,Semi detached house,"Shankill, Dublin",
2008,One bed,Semi detached house,"Stillorgan, Dublin",
2008,One bed,Semi detached house,Dublin 2,
2008,One bed,Semi detached house,"Charlemont Street, Dublin 2",
2008,One bed,Semi detached house,Dublin 6,801.92
2008,One bed,Semi detached house,"Milltown, Dublin 6",
2008,One bed,Semi detached house,"Ranelagh, Dublin 6",
2008,One bed,Semi detached house,Dublin 14,
2008,One bed,Semi detached house,"Churchtown, Dublin 14",
2008,One bed,Semi detached house,Dublin 16,
2008,One bed,Semi detached house,"Dundrum, Dublin 16",
2008,One bed,Semi detached house,Dublin 18,
2008,One bed,Semi detached house,"Cabinteely, Dublin 18",
2008,One bed,Semi detached house,"Carrickmines, Dublin 18",
2008,One bed,Semi detached house,"Leopardstown, Dublin 18",
2008,One bed,Semi detached house,"Sandyford, Dublin 18",
2008,One bed,Terrace house,Dublin,955.71
2008,One bed,Terrace house,"Shankill, Dublin",
2008,One bed,Terrace house,"Stillorgan, Dublin",
2008,One bed,Terrace house,Dublin 2,
2008,One bed,Terrace house,"Charlemont Street, Dublin 2",
2008,One bed,Terrace house,Dublin 6,914.55
2008,One bed,Terrace house,"Milltown, Dublin 6",
2008,One bed,Terrace house,"Ranelagh, Dublin 6",
2008,One bed,Terrace house,Dublin 14,
2008,One bed,Terrace house,"Churchtown, Dublin 14",
2008,One bed,Terrace house,Dublin 16,
2008,One bed,Terrace house,"Dundrum, Dublin 16",
2008,One bed,Terrace house,Dublin 18,
2008,One bed,Terrace house,"Cabinteely, Dublin 18",
2008,One bed,Terrace house,"Carrickmines, Dublin 18",
2008,One bed,Terrace house,"Leopardstown, Dublin 18",
2008,One bed,Terrace house,"Sandyford, Dublin 18",
2008,One bed,Apartment,Dublin,1051.21
2008,One bed,Apartment,"Shankill, Dublin",
2008,One bed,Apartment,"Stillorgan, Dublin",1206.38
2008,One bed,Apartment,Dublin 2,1187.84
2008,One bed,Apartment,"Charlemont Street, Dublin 2",
2008,One bed,Apartment,Dublin 6,1021.98
2008,One bed,Apartment,"Milltown, Dublin 6",1261.22
2008,One bed,Apartment,"Ranelagh, Dublin 6",1042.97
2008,One bed,Apartment,Dublin 14,1133.46
2008,One bed,Apartment,"Churchtown, Dublin 14",
2008,One bed,Apartment,Dublin 16,1126.56
2008,One bed,Apartment,"Dundrum, Dublin 16",1185.59
2008,One bed,Apartment,Dublin 18,1215.6
2008,One bed,Apartment,"Cabinteely, Dublin 18",1103.41
2008,One bed,Apartment,"Carrickmines, Dublin 18",
2008,One bed,Apartment,"Leopardstown, Dublin 18",
2008,One bed,Apartment,"Sandyford, Dublin 18",1264.28
2008,One bed,Other flats,Dublin,697.54
2008,One bed,Other flats,"Shankill, Dublin",
2008,One bed,Other flats,"Stillorgan, Dublin",
2008,One bed,Other flats,Dublin 2,874.61
2008,One bed,Other flats,"Charlemont Street, Dublin 2",
2008,One bed,Other flats,Dublin 6,698.68
2008,One bed,Other flats,"Milltown, Dublin 6",
2008,One bed,Other flats,"Ranelagh, Dublin 6",705.24
2008,One bed,Other flats,Dublin 14,
2008,One bed,Other flats,"Churchtown, Dublin 14",
2008,One bed,Other flats,Dublin 16,
2008,One bed,Other flats,"Dundrum, Dublin 16",
2008,One bed,Other flats,Dublin 18,
2008,One bed,Other flats,"Cabinteely, Dublin 18",
2008,One bed,Other flats,"Carrickmines, Dublin 18",
2008,One bed,Other flats,"Leopardstown, Dublin 18",
2008,One bed,Other flats,"Sandyford, Dublin 18",
2008,Two bed,All property types,Dublin,1296.13
2008,Two bed,All property types,"Shankill, Dublin",1258.55
2008,Two bed,All property types,"Stillorgan, Dublin",1459.51
2008,Two bed,All property types,Dublin 2,1519.83
2008,Two bed,All property types,"Charlemont Street, Dublin 2",1555.48
2008,Two bed,All property types,Dublin 6,1294.89
2008,Two bed,All property types,"Milltown, Dublin 6",1527.85
2008,Two bed,All property types,"Ranelagh, Dublin 6",1281.97
2008,Two bed,All property types,Dublin 14,1405.36
2008,Two bed,All property types,"Churchtown, Dublin 14",1357.68
2008,Two bed,All property types,Dublin 16,1343.75
2008,Two bed,All property types,"Dundrum, Dublin 16",1466.63
2008,Two bed,All property types,Dublin 18,1408.89
2008,Two bed,All property types,"Cabinteely, Dublin 18",1298.81
2008,Two bed,All property types,"Carrickmines, Dublin 18",1407.08
2008,Two bed,All property types,"Leopardstown, Dublin 18",
2008,Two bed,All property types,"Sandyford, Dublin 18",1433.96
2008,Two bed,Detached house,Dublin,1396.47
2008,Two bed,Detached house,"Shankill, Dublin",
2008,Two bed,Detached house,"Stillorgan, Dublin",
2008,Two bed,Detached house,Dublin 2,
2008,Two bed,Detached house,"Charlemont Street, Dublin 2",
2008,Two bed,Detached house,Dublin 6,
2008,Two bed,Detached house,"Milltown, Dublin 6",
2008,Two bed,Detached house,"Ranelagh, Dublin 6",
2008,Two bed,Detached house,Dublin 14,
2008,Two bed,Detached house,"Churchtown, Dublin 14",
2008,Two bed,Detached house,Dublin 16,
2008,Two bed,Detached house,"Dundrum, Dublin 16",
2008,Two bed,Detached house,Dublin 18,
2008,Two bed,Detached house,"Cabinteely, Dublin 18",
2008,Two bed,Detached house,"Carrickmines, Dublin 18",
2008,Two bed,Detached house,"Leopardstown, Dublin 18",
2008,Two bed,Detached house,"Sandyford, Dublin 18",
2008,Two bed,Semi detached house,Dublin,1253.04
2008,Two bed,Semi detached house,"Shankill, Dublin",
2008,Two bed,Semi detached house,"Stillorgan, Dublin",
2008,Two bed,Semi detached house,Dublin 2,
2008,Two bed,Semi detached house,"Charlemont Street, Dublin 2",
2008,Two bed,Semi detached house,Dublin 6,1313.85
2008,Two bed,Semi detached house,"Milltown, Dublin 6",
2008,Two bed,Semi detached house,"Ranelagh, Dublin 6",
2008,Two bed,Semi detached house,Dublin 14,1324.7
2008,Two bed,Semi detached house,"Churchtown, Dublin 14",
2008,Two bed,Semi detached house,Dublin 16,1323.55
2008,Two bed,Semi detached house,"Dundrum, Dublin 16",
2008,Two bed,Semi detached house,Dublin 18,
2008,Two bed,Semi detached house,"Cabinteely, Dublin 18",
2008,Two bed,Semi detached house,"Carrickmines, Dublin 18",
2008,Two bed,Semi detached house,"Leopardstown, Dublin 18",
2008,Two bed,Semi detached house,"Sandyford, Dublin 18",
2008,Two bed,Terrace house,Dublin,1235.19
2008,Two bed,Terrace house,"Shankill, Dublin",
2008,Two bed,Terrace house,"Stillorgan, Dublin",
2008,Two bed,Terrace house,Dublin 2,1531.45
2008,Two bed,Terrace house,"Charlemont Street, Dublin 2",
2008,Two bed,Terrace house,Dublin 6,1407.1
2008,Two bed,Terrace house,"Milltown, Dublin 6",
2008,Two bed,Terrace house,"Ranelagh, Dublin 6",1572.8
2008,Two bed,Terrace house,Dublin 14,1351.69
2008,Two bed,Terrace house,"Churchtown, Dublin 14",
2008,Two bed,Terrace house,Dublin 16,1224.34
2008,Two bed,Terrace house,"Dundrum, Dublin 16",
2008,Two bed,Terrace house,Dublin 18,
2008,Two bed,Terrace house,"Cabinteely, Dublin 18",
2008,Two bed,Terrace house,"Carrickmines, Dublin 18",
2008,Two bed,Terrace house,"Leopardstown, Dublin 18",
2008,Two bed,Terrace house,"Sandyford, Dublin 18",
2008,Two bed,Apartment,Dublin,1323.06
2008,Two bed,Apartment,"Shankill, Dublin",1276.59
2008,Two bed,Apartment,"Stillorgan, Dublin",1474.13
2008,Two bed,Apartment,Dublin 2,1539.62
2008,Two bed,Apartment,"Charlemont Street, Dublin 2",1555.67
2008,Two bed,Apartment,Dublin 6,1378.35
2008,Two bed,Apartment,"Milltown, Dublin 6",1547.6
2008,Two bed,Apartment,"Ranelagh, Dublin 6",1307.66
2008,Two bed,Apartment,Dublin 14,1420.63
2008,Two bed,Apartment,"Churchtown, Dublin 14",
2008,Two bed,Apartment,Dublin 16,1373.87
2008,Two bed,Apartment,"Dundrum, Dublin 16",1477.68
2008,Two bed,Apartment,Dublin 18,1403.01
2008,Two bed,Apartment,"Cabinteely, Dublin 18",1307.13
2008,Two bed,Apartment,"Carrickmines, Dublin 18",1383.48
2008,Two bed,Apartment,"Leopardstown, Dublin 18",
2008,Two bed,Apartment,"Sandyford, Dublin 18",1434.55
2008,Two bed,Other flats,Dublin,1044.01
2008,Two bed,Other flats,"Shankill, Dublin",
2008,Two bed,Other flats,"Stillorgan, Dublin",
2008,Two bed,Other flats,Dublin 2,1103.13
2008,Two bed,Other flats,"Charlemont Street, Dublin 2",
2008,Two bed,Other flats,Dublin 6,1026.22
2008,Two bed,Other flats,"Milltown, Dublin 6",
2008,Two bed,Other flats,"Ranelagh, Dublin 6",995.61
2008,Two bed,Other flats,Dublin 14,
2008,Two bed,Other flats,"Churchtown, Dublin 14",
2008,Two bed,Other flats,Dublin 16,
2008,Two bed,Other flats,"Dundrum, Dublin 16",
2008,Two bed,Other flats,Dublin 18,
2008,Two bed,Other flats,"Cabinteely, Dublin 18",
2008,Two bed,Other flats,"Carrickmines, Dublin 18",
2008,Two bed,Other flats,"Leopardstown, Dublin 18",
2008,Two bed,Other flats,"Sandyford, Dublin 18",
2008,Three bed,All property types,Dublin,1437.56
2008,Three bed,All property types,"Shankill, Dublin",1427.31
2008,Three bed,All property types,"Stillorgan, Dublin",1672.5
2008,Three bed,All property types,Dublin 2,1915.16
2008,Three bed,All property types,"Charlemont Street, Dublin 2",
2008,Three bed,All property types,Dublin 6,1750.93
2008,Three bed,All property types,"Milltown, Dublin 6",1767.06
2008,Three bed,All property types,"Ranelagh, Dublin 6",1963.97
2008,Three bed,All property types,Dublin 14,1667.43
2008,Three bed,All property types,"Churchtown, Dublin 14",1601.14
2008,Three bed,All property types,Dublin 16,1431.8
2008,Three bed,All property types,"Dundrum, Dublin 16",1734.7
2008,Three bed,All property types,Dublin 18,1545.14
2008,Three bed,All property types,"Cabinteely, Dublin 18",1464.02
2008,Three bed,All property types,"Carrickmines, Dublin 18",
2008,Three bed,All property types,"Leopardstown, Dublin 18",1506.58
2008,Three bed,All property types,"Sandyford, Dublin 18",1574.83
2008,Three bed,Detached house,Dublin,1599.12
2008,Three bed,Detached house,"Shankill, Dublin",
2008,Three bed,Detached house,"Stillorgan, Dublin",
2008,Three bed,Detached house,Dublin 2,
2008,Three bed,Detached house,"Charlemont Street, Dublin 2",
2008,Three bed,Detached house,Dublin 6,
2008,Three bed,Detached house,"Milltown, Dublin 6",
2008,Three bed,Detached house,"Ranelagh, Dublin 6",
2008,Three bed,Detached house,Dublin 14,
2008,Three bed,Detached house,"Churchtown, Dublin 14",
2008,Three bed,Detached house,Dublin 16,
2008,Three bed,Detached house,"Dundrum, Dublin 16",
2008,Three bed,Detached house,Dublin 18,
2008,Three bed,Detached house,"Cabinteely, Dublin 18",
2008,Three bed,Detached house,"Carrickmines, Dublin 18",
2008,Three bed,Detached house,"Leopardstown, Dublin 18",
2008,Three bed,Detached house,"Sandyford, Dublin 18",
2008,Three bed,Semi detached house,Dublin,1368.08
2008,Three bed,Semi detached house,"Shankill, Dublin",1432.35
2008,Three bed,Semi detached house,"Stillorgan, Dublin",1640.47
2008,Three bed,Semi detached house,Dublin 2,
2008,Three bed,Semi detached house,"Charlemont Street, Dublin 2",
2008,Three bed,Semi detached house,Dublin 6,1815.09
2008,Three bed,Semi detached house,"Milltown, Dublin 6",
2008,Three bed,Semi detached house,"Ranelagh, Dublin 6",2035.71
2008,Three bed,Semi detached house,Dublin 14,1615.7
2008,Three bed,Semi detached house,"Churchtown, Dublin 14",1620.71
2008,Three bed,Semi detached house,Dublin 16,1383.67
2008,Three bed,Semi detached house,"Dundrum, Dublin 16",1608.18
2008,Three bed,Semi detached house,Dublin 18,1460.41
2008,Three bed,Semi detached house,"Cabinteely, Dublin 18",1365.74
2008,Three bed,Semi detached house,"Carrickmines, Dublin 18",
2008,Three bed,Semi detached house,"Leopardstown, Dublin 18",1495.22
2008,Three bed,Semi detached house,"Sandyford, Dublin 18",1433.82
2008,Three bed,Terrace house,Dublin,1418.08
2008,Three bed,Terrace house,"Shankill, Dublin",
2008,Three bed,Terrace house,"Stillorgan, Dublin",
2008,Three bed,Terrace house,Dublin 2,1861.58
2008,Three bed,Terrace house,"Charlemont Street, Dublin 2",
2008,Three bed,Terrace house,Dublin 6,1855.04
2008,Three bed,Terrace house,"Milltown, Dublin 6",
2008,Three bed,Terrace house,"Ranelagh, Dublin 6",1989.86
2008,Three bed,Terrace house,Dublin 14,1617.15
2008,Three bed,Terrace house,"Churchtown, Dublin 14",
2008,Three bed,Terrace house,Dublin 16,1464.63
2008,Three bed,Terrace house,"Dundrum, Dublin 16",1740.18
2008,Three bed,Terrace house,Dublin 18,1606.3
2008,Three bed,Terrace house,"Cabinteely, Dublin 18",
2008,Three bed,Terrace house,"Carrickmines, Dublin 18",
2008,Three bed,Terrace house,"Leopardstown, Dublin 18",
2008,Three bed,Terrace house,"Sandyford, Dublin 18",
2008,Three bed,Apartment,Dublin,1604.79
2008,Three bed,Apartment,"Shankill, Dublin",
2008,Three bed,Apartment,"Stillorgan, Dublin",1834.26
2008,Three bed,Apartment,Dublin 2,1909.3
2008,Three bed,Apartment,"Charlemont Street, Dublin 2",
2008,Three bed,Apartment,Dublin 6,1618.64
2008,Three bed,Apartment,"Milltown, Dublin 6",1705.39
2008,Three bed,Apartment,"Ranelagh, Dublin 6",
2008,Three bed,Apartment,Dublin 14,1843.3
2008,Three bed,Apartment,"Churchtown, Dublin 14",
2008,Three bed,Apartment,Dublin 16,1681.9
2008,Three bed,Apartment,"Dundrum, Dublin 16",
2008,Three bed,Apartment,Dublin 18,1624.21
2008,Three bed,Apartment,"Cabinteely, Dublin 18",1523.07
2008,Three bed,Apartment,"Carrickmines, Dublin 18",
2008,Three bed,Apartment,"Leopardstown, Dublin 18",
2008,Three bed,Apartment,"Sandyford, Dublin 18",1667.92
2008,Three bed,Other flats,Dublin,1353.17
2008,Three bed,Other flats,"Shankill, Dublin",
2008,Three bed,Other flats,"Stillorgan, Dublin",
2008,Three bed,Other flats,Dublin 2,
2008,Three bed,Other flats,"Charlemont Street, Dublin 2",
2008,Three bed,Other flats,Dublin 6,1360.12
2008,Three bed,Other flats,"Milltown, Dublin 6",
2008,Three bed,Other flats,"Ranelagh, Dublin 6",
2008,Three bed,Other flats,Dublin 14,
2008,Three bed,Other flats,"Churchtown, Dublin 14",
2008,Three bed,Other flats,Dublin 16,
2008,Three bed,Other flats,"Dundrum, Dublin 16",
2008,Three bed,Other flats,Dublin 18,
2008,Three bed,Other flats,"Cabinteely, Dublin 18",
