stop_sequence,station,latitude,longitude,distance_km_to_centre,travel_min_to_centre,park_and_ride,rtb_area,year,bedrooms,property_type,avg_rent,dublin_avg,vs_dublin_pct
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,Four plus bed,Semi detached house,2642.03,1736.48,52.1
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,Four plus bed,Terrace house,2310.67,1778.75,29.9
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,All bedrooms,All property types,1214.98,1271.28,-4.4
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,All bedrooms,Semi detached house,1868.64,1429.18,30.7
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,All bedrooms,Terrace house,1904.55,1380.59,38.0
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,All bedrooms,Apartment,1205.32,1266.06,-4.8
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,All bedrooms,Other flats,760.69,778.08,-2.2
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,One bed,All property types,808.83,922.96,-12.4
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,One bed,Apartment,1042.97,1051.21,-0.8
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,One bed,Other flats,705.24,697.54,1.1
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,Two bed,All property types,1281.97,1296.13,-1.1
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,Two bed,Terrace house,1572.8,1235.19,27.3
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,Two bed,Apartment,1307.66,1323.06,-1.2
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,Two bed,Other flats,995.61,1044.01,-4.6
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,Three bed,All property types,1963.97,1437.56,36.6
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,Three bed,Semi detached house,2035.71,1368.08,48.8
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,Three bed,Terrace house,1989.86,1418.08,40.3
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,1 to 2 bed,All property types,974.03,1147.99,-15.2
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,1 to 2 bed,Semi detached house,1145.42,1159.28,-1.2
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,1 to 2 bed,Terrace house,1499.0,1203.36,24.6
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,1 to 2 bed,Apartment,1169.4,1230.06,-4.9
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,1 to 2 bed,Other flats,756.3,758.27,-0.3
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,1 to 3 bed,All property types,1099.11,1220.36,-9.9
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,1 to 3 bed,Semi detached house,1499.52,1317.88,13.8
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,1 to 3 bed,Terrace house,1759.08,1317.42,33.5
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,1 to 3 bed,Apartment,1199.42,1262.6,-5.0
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,1 to 3 bed,Other flats,758.23,774.06,-2.0
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,Four plus bed,All property types,2388.72,1784.78,33.8
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,Four plus bed,Semi detached house,2642.03,1736.48,52.1
4,Beechwood,53.320822,-6.254653,2.08,9,No,"Ranelagh, Dublin 6",2008,Four plus bed,Terrace house,2310.67,1778.75,29.9
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,All bedrooms,All property types,1214.98,1271.28,-4.4
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,All bedrooms,Semi detached house,1868.64,1429.18,30.7
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,All bedrooms,Terrace house,1904.55,1380.59,38.0
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,All bedrooms,Apartment,1205.32,1266.06,-4.8
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,All bedrooms,Other flats,760.69,778.08,-2.2
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,One bed,All property types,808.83,922.96,-12.4
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,One bed,Apartment,1042.97,1051.21,-0.8
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,One bed,Other flats,705.24,697.54,1.1
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,Two bed,All property types,1281.97,1296.13,-1.1
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,Two bed,Terrace house,1572.8,1235.19,27.3
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,Two bed,Apartment,1307.66,1323.06,-1.2
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,Two bed,Other flats,995.61,1044.01,-4.6
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,Three bed,All property types,1963.97,1437.56,36.6
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,Three bed,Semi detached house,2035.71,1368.08,48.8
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,Three bed,Terrace house,1989.86,1418.08,40.3
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,1 to 2 bed,All property types,974.03,1147.99,-15.2
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,1 to 2 bed,Semi detached house,1145.42,1159.28,-1.2
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,1 to 2 bed,Terrace house,1499.0,1203.36,24.6
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,1 to 2 bed,Apartment,1169.4,1230.06,-4.9
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,1 to 2 bed,Other flats,756.3,758.27,-0.3
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,1 to 3 bed,All property types,1099.11,1220.36,-9.9
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,1 to 3 bed,Semi detached house,1499.52,1317.88,13.8
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,1 to 3 bed,Terrace house,1759.08,1317.42,33.5
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,1 to 3 bed,Apartment,1199.42,1262.6,-5.0
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,1 to 3 bed,Other flats,758.23,774.06,-2.0
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,Four plus bed,All property types,2388.72,1784.78,33.8
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,Four plus bed,Semi detached house,2642.03,1736.48,52.1
5,Cowper,53.316467,-6.253447,2.57,11,No,"Ranelagh, Dublin 6",2008,Four plus bed,Terrace house,2310.67,1778.75,29.9
6,Milltown,53.309917,-6.251728,3.3,13,No,"Milltown, Dublin 6",2008,All bedrooms,All property types,1571.02,1271.28,23.6
6,Milltown,53.309917,-6.251728,3.3,13,No,"Milltown, Dublin 6",2008,All bedrooms,Semi detached house,1876.48,1429.18,31.3
6,Milltown,53.309917,-6.251728,3.3,13,No,"Milltown, Dublin 6",2008,All bedrooms,Terrace house,1621.49,1380.59,17.4
6,Milltown,53.309917,-6.251728,3.3,13,No,"Milltown, Dublin 6",2008,All bedrooms,Apartment,1506.23,1266.06,19.0
6,Milltown,53.309917,-6.251728,3.3,13,No,"Milltown, Dublin 6",2008,One bed,All property types,1265.08,922.96,37.1
6,Milltown,53.309917,-6.251728,3.3,13,No,"Milltown, Dublin 6",2008,One bed,Apartment,1261.22,1051.21,20.0
6,Milltown,53.309917,-6.251728,3.3,13,No,"Milltown, Dublin 6",2008,Two bed,All property types,1527.85,1296.13,17.9
6,Milltown,53.309917,-6.251728,3.3,13,No,"Milltown, Dublin 6",2008,Two bed,Apartment,1547.6,1323.06,17.0
6,Milltown,53.309917,-6.251728,3.3,13,No,"Milltown, Dublin 6",2008,Three bed,All property types,1767.06,1437.56,22.9
6,Milltown,53.309917,-6.251728,3.3,13,No,"Milltown, Dublin 6",2008,Three bed,Apartment,1705.39,1604.79,6.3
6,Milltown,53.309917,-6.251728,3.3,13,No,"Milltown, Dublin 6",2008,1 to 2 bed,All property types,1465.97,1147.99,27.7
6,Milltown,53.309917,-6.251728,3.3,13,No,"Milltown, Dublin 6",2008,1 to 2 bed,Apartment,1473.48,1230.06,19.8
6,Milltown,53.309917,-6.251728,3.3,13,No,"Milltown, Dublin 6",2008,1 to 3 bed,All property types,1520.64,1220.36,24.6
6,Milltown,53.309917,-6.251728,3.3,13,No,"Milltown, Dublin 6",2008,1 to 3 bed,Terrace house,1553.17,1317.42,17.9
6,Milltown,53.309917,-6.251728,3.3,13,No,"Milltown, Dublin 6",2008,1 to 3 bed,Apartment,1502.17,1262.6,19.0
7,Windy Arbour,53.301558,-6.250708,4.23,15,No,"Churchtown, Dublin 14",2008,All bedrooms,All property types,1609.69,1271.28,26.6
7,Windy Arbour,53.301558,-6.250708,4.23,15,No,"Churchtown, Dublin 14",2008,All bedrooms,Semi detached house,1790.87,1429.18,25.3
